video sequence,BD-rate(piecewise_cubic)(%),BD-rate(cubic)(%),Delta_Y-PSNR(dB),Delta_U-PSNR(dB),Delta_V-PSNR(dB),Delta_time(%)
﻿Beauty_3840x2160_50_600_qp40(anchor),-44.6,-44.7,-0.206,1.534,3.323,3328.839
﻿Chimei-inn_3840x2160_50_317_qp40(anchor),-39.9,-39.9,0.206,5.011,5.086,3314.213
﻿Girlhood_3840x2160_50_235_qp40(anchor),-29.4,-29.4,-1.245,2.754,1.847,2491.699
﻿RaceNight_3840x2160_50_235_qp40(anchor),-41.4,-44.3,-0.641,4.636,4.434,2864.374
﻿PeopleOnStreet_2560x1600_30_crop_150_qp40(anchor),-33.6,-33.6,-2.244,4.141,4.928,2138.525
﻿Traffic_2560x1600_30_crop_150_qp40(anchor),-43.8,-43.8,-0.275,1.689,3.348,2316.169
﻿BasketballDrive_1920x1080_50_500_qp40(anchor),-45.5,-45.7,-0.849,3.713,3.257,2939.046
﻿BQTerrace_1920x1080_60_600_qp40(anchor),-48.0,-47.8,-0.582,4.548,6.628,2344.277
﻿Cactus_1920x1080_50_500_qp40(anchor),-44.5,-44.6,-0.345,2.526,4.091,2921.837
﻿Kimono1_1920x1080_24_240_qp40(anchor),-34.6,-34.6,0.113,3.037,3.87,2605.958
﻿ParkScene_1920x1080_24_240_qp40(anchor),-45.4,-45.4,0.148,3.688,4.423,2806.224
﻿BasketballDrill_832x480_50_500_qp40(anchor),-49.0,-49.0,0.486,3.512,3.547,3140.572
﻿BQMall_832x480_60_600_qp40(anchor),-44.4,-44.4,0.064,4.398,5.069,2755.343
﻿PartyScene_832x480_50_500_qp40(anchor),-50.4,-50.5,-0.735,3.934,4.539,2554.887
﻿RaceHorses_832x480_30_300_qp40(anchor),-36.4,-36.4,-0.885,2.599,3.912,2755.681
﻿BasketballPass_416x240_50_500_qp40(anchor),-37.9,-37.9,0.523,4.697,3.235,3054.505
﻿BlowingBubbles_416x240_50_500_qp40(anchor),-49.1,-49.1,0.673,4.505,5.246,2941.056
﻿BQSquare_416x240_60_600_qp40(anchor),-50.8,-50.8,0.307,6.711,7.519,2300.885
﻿RaceHorses_416x240_30_300_qp40(anchor),-36.6,-36.7,0.181,3.392,4.305,2925.215
﻿FourPeople_1280x720_60_600_qp40(anchor),-35.8,-35.4,1.36,5.448,6.495,3012.925
﻿Johnny_1280x720_60_600_qp40(anchor),-38.7,-37.5,1.593,6.121,6.747,2945.299
﻿KristenAndSara_1280x720_60_600_qp40(anchor),-28.6,-28.0,1.402,5.456,6.284,3216.876
﻿BasketballDrillText_832x480_50_500_qp40(anchor),-49.7,-49.6,0.235,2.916,2.957,2951.519
﻿ChinaSpeed_1024x768_30_300_qp40(anchor),-33.3,-33.3,-1.166,4.49,3.215,2732.26
﻿SlideEditing_1280x720_30_300_qp40(anchor),-11.5,-11.7,-3.959,-0.266,0.598,2591.847
﻿SlideShow_1280x720_20_500_qp40(anchor),-59.8,-59.8,1.394,5.778,7.031,2003.463
﻿Average,-40.9,-40.9,-0.171,3.883,4.459,2767.442
